n;sexomf;idade78;idade;peso;altura;tipomochila;carrmochila;escollado;;;;;;;;
204;M;8;8,67;24,1;1,265;E;1;D;;;;;;;;
205;M;8;8,42;21,7;1,213;E;1;A;;;;;;;;
206;M;8;8,67;29,7;1,375;C;5;E;;;;;;;;
207;M;8;8,5;26,4;1,31;C;4;D;;;;;;;;
208;M;8;8,33;28,7;1,312;E;1;E;;;;;;;;
209;M;8;8,5;19,7;1,192;C;4;E;;;;;;;;
210;M;8;7,92;25,9;1,281;E;1;E;;;;;;;;
211;M;8;8,58;25,6;1,282;E;1;E;;;;;;;;
212;M;8;8,67;29,5;1,357;E;1;E;;;;;;;;
213;M;8;8,33;29,8;1,309;E;1;E;;;;;;;;
214;M;8;8,5;25,9;1,308;E;1;E;;;;;;;;
215;M;8;8;25,9;1,212;C;4;D;;;;;;;;
216;M;8;8,2;25,3;1,247;E;1;E;;;;;;;;
217;M;8;7,83;24,6;1,242;E;1;E;;;;;;;;
218;M;8;8,25;23,5;1,258;E;1;E;;;;;;;;
219;M;8;8,17;37,2;1,423;L;3;E;;;;;;;;
220;M;8;8,67;26,3;1,226;E;2;E;;;;;;;;
221;M;8;7,83;27,8;1,24;C;4;E;;;;;;;;
222;M;8;8,17;24,2;1,257;E;1;E;;;;;;;;
223;M;8;8,58;29;1,286;E;1;E;;;;;;;;
224;M;8;7,83;24,5;1,252;E;1;E;;;;;;;;
225;M;8;8,58;25,1;1,248;E;1;E;;;;;;;;
226;M;8;8,42;30,3;1,281;E;1;D;;;;;;;;
227;M;8;8,33;25,2;1,265;L;3;E;;;;;;;;
228;M;8;8,5;29,1;1,377;L;3;E;;;;;;;;
229;M;8;7,92;22,9;1,208;E;1;E;;;;;;;;
230;M;8;8;31,3;1,333;E;1;E;;;;;;;;
